# wrapper-substate writer hunt
# pattern: MOV [reg + 0xa0], <imm in [0, 1, 2, 3, 4, 5]>

## Pattern matches (MOV [reg + 0xa0], imm)

scanned 32079663 instructions

### imm = 0 (432 hits)
  14753d304  FUN_14753d0a0  MOV byte ptr [RSI + 0xa0],0x0
  14753d4bf  FUN_14753d0a0  MOV byte ptr [RSI + 0xa0],0x0
  14753da5d  FUN_14753d0a0  MOV byte ptr [RSI + 0xa0],0x0
  1475410ac  FUN_147540e50  MOV byte ptr [RSI + 0xa0],0x0
  147541266  FUN_147540e50  MOV byte ptr [RSI + 0xa0],0x0
  147541e72  FUN_147540e50  MOV byte ptr [RSI + 0xa0],0x0
  147543414  FUN_1475431b0  MOV byte ptr [RSI + 0xa0],0x0
  1475435ce  FUN_1475431b0  MOV byte ptr [RSI + 0xa0],0x0
  14754392b  FUN_1475431b0  MOV byte ptr [RSI + 0xa0],0x0
  147546f6c  FUN_147546d10  MOV byte ptr [RSI + 0xa0],0x0
  147547126  FUN_147546d10  MOV byte ptr [RSI + 0xa0],0x0
  147547b33  FUN_147546d10  MOV byte ptr [RSI + 0xa0],0x0
  147548fde  FUN_147548d80  MOV byte ptr [RSI + 0xa0],0x0
  147549199  FUN_147548d80  MOV byte ptr [RSI + 0xa0],0x0
  14754986d  FUN_147548d80  MOV byte ptr [RSI + 0xa0],0x0
  147549ef4  FUN_147549c90  MOV byte ptr [RSI + 0xa0],0x0
  14754a0af  FUN_147549c90  MOV byte ptr [RSI + 0xa0],0x0
  14754a64d  FUN_147549c90  MOV byte ptr [RSI + 0xa0],0x0
  14754fbc6  FUN_14754f960  MOV byte ptr [RSI + 0xa0],0x0
  14754ff27  FUN_14754f960  MOV byte ptr [RSI + 0xa0],0x0
  147550b06  FUN_1475508a0  MOV byte ptr [RSI + 0xa0],0x0
  147550e67  FUN_1475508a0  MOV byte ptr [RSI + 0xa0],0x0
  147551544  FUN_1475512e0  MOV byte ptr [RSI + 0xa0],0x0
  1475516fe  FUN_1475512e0  MOV byte ptr [RSI + 0xa0],0x0
  147551a5e  FUN_1475512e0  MOV byte ptr [RSI + 0xa0],0x0
  147553cad  FUN_147553a50  MOV byte ptr [RSI + 0xa0],0x0
  147553e68  FUN_147553a50  MOV byte ptr [RSI + 0xa0],0x0
  14755454e  FUN_147553a50  MOV byte ptr [RSI + 0xa0],0x0
  1475557b6  FUN_147555550  MOV byte ptr [RSI + 0xa0],0x0
  147555b40  FUN_147555550  MOV byte ptr [RSI + 0xa0],0x0
  14756fed6  FUN_14756fd40  MOV byte ptr [R14 + 0xa0],0x0
  1475abf8b  FUN_1475ab9a0  MOV byte ptr [R8 + 0xa0],0x0
  1475ec72c  FUN_1475ec470  MOV byte ptr [RBP + 0xa0],0x0
  1475f19a5  FUN_1475f1580  MOV byte ptr [RBP + 0xa0],0x0
  147624fed  FUN_147624f70  MOV byte ptr [RDI + 0xa0],0x0
  1476397a4  FUN_147639710  MOV qword ptr [RSP + 0xa0],0x0
  14763d233  FUN_14763d0b0  MOV byte ptr [R14 + 0xa0],0x0
  1476421bc  FUN_147642180  MOV byte ptr [RBX + 0xa0],0x0
  147642cca  FUN_147642b40  MOV byte ptr [R14 + 0xa0],0x0
  14764c3ab  FUN_14764c1c0  MOV byte ptr [RSI + 0xa0],0x0
  14764c4fa  FUN_14764c1c0  MOV byte ptr [RSI + 0xa0],0x0
  14764cb01  FUN_14764c1c0  MOV byte ptr [RSI + 0xa0],0x0
  14764defd  FUN_14764de10  MOV qword ptr [RSP + 0xa0],0x0
  147651e6b  FUN_147651c60  MOV byte ptr [RSI + 0xa0],0x0
  14765208a  FUN_147651f00  MOV byte ptr [R14 + 0xa0],0x0
  147653499  FUN_147653450  MOV qword ptr [RBX + 0xa0],0x0
  14765d88f  FUN_14765d640  MOV qword ptr [RBP + 0xa0],0x0
  14765eb82  FUN_14765e7c0  MOV byte ptr [RBP + 0xa0],0x0
  14765ec78  FUN_14765e7c0  MOV byte ptr [RBP + 0xa0],0x0
  14765ed71  FUN_14765e7c0  MOV byte ptr [RBP + 0xa0],0x0
  14766007f  FUN_14765fe30  MOV qword ptr [RBP + 0xa0],0x0
  14766743e  FUN_1476672b0  MOV byte ptr [R14 + 0xa0],0x0
  147687ad9  FUN_147687240  MOV byte ptr [RBP + 0xa0],0x0
  147687c18  FUN_147687240  MOV byte ptr [RBP + 0xa0],0x0
  14775efe4  FUN_14775ed90  MOV dword ptr [RSP + 0xa0],0x0
  14775f038  FUN_14775ed90  MOV dword ptr [RSP + 0xa0],0x0
  14775f05f  FUN_14775ed90  MOV dword ptr [RSP + 0xa0],0x0
  1477615e6  FUN_147761320  MOV dword ptr [RSP + 0xa0],0x0
  14778387e  FUN_147783850  MOV qword ptr [RBX + 0xa0],0x0
  14778389b  FUN_147783850  MOV qword ptr [RBX + 0xa0],0x0
  147821d04  FUN_147821c60  MOV dword ptr [RSP + 0xa0],0x0
  14785eb88  FUN_14785eae0  MOV qword ptr [RBX + 0xa0],0x0
  147867f72  FUN_147866fb0  MOV qword ptr [RBP + 0xa0],0x0
  14790247a  FUN_147902420  MOV qword ptr [RBX + 0xa0],0x0
  14791195c  FUN_1479118b0  MOV qword ptr [RBX + 0xa0],0x0
  147946652  FUN_1479465c0  MOV qword ptr [RDI + 0xa0],0x0
  1479491f1  FUN_1479491b0  MOV qword ptr [RDX + 0xa0],0x0
  14794cbc2  FUN_14794cb30  MOV qword ptr [RDI + 0xa0],0x0
  1479c6e2d  FUN_1479c6720  MOV byte ptr [RBP + 0xa0],0x0
  1479c6eb7  FUN_1479c6720  MOV byte ptr [RBP + 0xa0],0x0
  1479d2a01  FUN_1479d22a0  MOV byte ptr [RBP + 0xa0],0x0
  147a8ff39  FUN_147a8fe10  MOV qword ptr [R11 + 0xa0],0x0
  147ae1467  FUN_147ae13b0  MOV qword ptr [RBX + 0xa0],0x0
  147b1beae  FUN_147b1be50  MOV byte ptr [RDI + 0xa0],0x0
  147b29b96  FUN_147b299c0  MOV byte ptr [RBP + 0xa0],0x0
  147b29dcd  FUN_147b299c0  MOV byte ptr [RBP + 0xa0],0x0
  147b30583  FUN_147b30540  MOV byte ptr [RDI + 0xa0],0x0
  147b30673  FUN_147b30630  MOV byte ptr [RDI + 0xa0],0x0
  147b36bd2  FUN_147b36b20  MOV byte ptr [R8 + 0xa0],0x0
  147b36f6b  FUN_147b36ec0  MOV byte ptr [R8 + 0xa0],0x0
  147b4647e  FUN_147b46420  MOV byte ptr [RCX + 0xa0],0x0
  147b47a32  FUN_147b47a20  MOV byte ptr [RBX + 0xa0],0x0
  147b62de5  FUN_147b622f0  MOV byte ptr [RBP + 0xa0],0x0
  147b62e86  FUN_147b622f0  MOV byte ptr [RBP + 0xa0],0x0
  147b62f86  FUN_147b622f0  MOV byte ptr [RBP + 0xa0],0x0
  147bb0db2  FUN_147bb0b40  MOV byte ptr [RDI + 0xa0],0x0
  147c02b45  FUN_147c02b10  MOV byte ptr [RCX + 0xa0],0x0
  147c05727  FUN_147c05400  MOV byte ptr [RSI + 0xa0],0x0

### imm = 1 (207 hits)
  1406bd712  FUN_1406bd640  MOV byte ptr [RSP + 0xa0],0x1
  1406bd75f  FUN_1406bd640  MOV byte ptr [RSP + 0xa0],0x1
  140783a2c  FUN_1407837b0  MOV byte ptr [RBP + 0xa0],0x1
  14085adc7  FUN_14085abf0  MOV dword ptr [RBP + 0xa0],0x1
  1408bd38d  FUN_1408bd150  MOV dword ptr [RBP + 0xa0],0x1
  14093e9ea  FUN_14093e880  MOV byte ptr [RBP + 0xa0],0x1
  140c9017d  FUN_140c90100  MOV byte ptr [RBX + 0xa0],0x1
  140d3a472  FUN_140d39b30  MOV byte ptr [RAX + 0xa0],0x1
  140e9e275  FUN_140e9e170  MOV byte ptr [RDI + 0xa0],0x1
  1410a56b9  FUN_1410a55e0  MOV byte ptr [RCX + 0xa0],0x1
  1410a5b47  FUN_1410a5a80  MOV byte ptr [RCX + 0xa0],0x1
  14110cf25  FUN_14110cd60  MOV byte ptr [RSP + 0xa0],0x1
  1412f8b8f  FUN_1412f8a60  MOV qword ptr [RSI + 0xa0],0x1
  1413eb877  FUN_1413eb6e0  MOV qword ptr [RBX + 0xa0],0x1
  1413f6100  ?  MOV byte ptr [RCX + 0xa0],0x1
  1414cb17a  FUN_1414cb0b0  MOV qword ptr [RSI + 0xa0],0x1
  14161284e  FUN_1416127d0  MOV dword ptr [RCX + 0xa0],0x1
  14162e873  FUN_14162e7d0  MOV qword ptr [RBX + 0xa0],0x1
  1416824ee  FUN_1416822b0  MOV byte ptr [RSP + 0xa0],0x1
  14172fa5e  FUN_14172f850  MOV byte ptr [RDI + 0xa0],0x1
  14178c667  FUN_14178c5d0  MOV dword ptr [RBP + 0xa0],0x1
  14178cb07  FUN_14178ca70  MOV dword ptr [RBP + 0xa0],0x1
  14198d14a  FUN_14198a9f0  MOV dword ptr [RBX + 0xa0],0x1
  1419cd45e  FUN_1419cc920  MOV dword ptr [RBX + 0xa0],0x1
  1419cf4c7  FUN_1419cdc40  MOV dword ptr [RBX + 0xa0],0x1
  1419d85e5  FUN_1419d6380  MOV dword ptr [RBX + 0xa0],0x1
  1419d8fc3  FUN_1419d6380  MOV dword ptr [RBX + 0xa0],0x1
  1419d9418  FUN_1419d6380  MOV dword ptr [RBX + 0xa0],0x1
  1419db760  FUN_1419da4a0  MOV dword ptr [RBX + 0xa0],0x1
  1419dbd0c  FUN_1419da4a0  MOV dword ptr [RBX + 0xa0],0x1
  1419def64  FUN_1419dc680  MOV dword ptr [RBX + 0xa0],0x1
  1419e366f  FUN_1419e0500  MOV dword ptr [RBX + 0xa0],0x1
  1419e401c  FUN_1419e0500  MOV dword ptr [RBX + 0xa0],0x1
  1419e419c  FUN_1419e0500  MOV dword ptr [RBX + 0xa0],0x1
  1419ea71b  FUN_1419e7960  MOV dword ptr [RBX + 0xa0],0x1
  1419eae1a  FUN_1419e7960  MOV dword ptr [RBX + 0xa0],0x1
  1419eeba4  FUN_1419eb9b0  MOV dword ptr [RBX + 0xa0],0x1
  1419eeff5  FUN_1419eb9b0  MOV dword ptr [RBX + 0xa0],0x1
  1419ef18e  FUN_1419eb9b0  MOV dword ptr [RBX + 0xa0],0x1
  1419f2f82  FUN_1419effc0  MOV dword ptr [RBX + 0xa0],0x1
  1419f3454  FUN_1419effc0  MOV dword ptr [RBX + 0xa0],0x1
  141a1a345  FUN_141a16270  MOV dword ptr [RBX + 0xa0],0x1
  141a1e7f9  FUN_141a1ac80  MOV dword ptr [RBX + 0xa0],0x1
  141a434c5  FUN_141a41390  MOV dword ptr [RBX + 0xa0],0x1
  141a4364d  FUN_141a41390  MOV dword ptr [RBX + 0xa0],0x1
  141a437d5  FUN_141a41390  MOV dword ptr [RBX + 0xa0],0x1
  141a4395d  FUN_141a41390  MOV dword ptr [RBX + 0xa0],0x1
  141a65485  FUN_141a64860  MOV dword ptr [RBX + 0xa0],0x1
  141ab2644  FUN_141ab18b0  MOV dword ptr [RBX + 0xa0],0x1
  141ac5517  FUN_141ac3fa0  MOV dword ptr [RBX + 0xa0],0x1
  141b24856  FUN_141b23de0  MOV dword ptr [RBX + 0xa0],0x1
  141b28acc  FUN_141b27970  MOV dword ptr [RBX + 0xa0],0x1
  141b2a051  FUN_141b292a0  MOV dword ptr [RBX + 0xa0],0x1
  141b2ba10  FUN_141b2aef0  MOV dword ptr [RBX + 0xa0],0x1
  141b2d6ce  FUN_141b2cb60  MOV dword ptr [RBX + 0xa0],0x1
  141b2eef6  FUN_141b2e390  MOV dword ptr [RBX + 0xa0],0x1
  141b70eb6  FUN_141b6e8f0  MOV dword ptr [RBX + 0xa0],0x1
  141b72720  FUN_141b715f0  MOV dword ptr [RBX + 0xa0],0x1
  141b758e2  FUN_141b747b0  MOV dword ptr [RBX + 0xa0],0x1
  141b79f3c  FUN_141b77970  MOV dword ptr [RBX + 0xa0],0x1
  141b7a093  FUN_141b77970  MOV dword ptr [RBX + 0xa0],0x1
  141bcf014  FUN_141bcc010  MOV dword ptr [RBX + 0xa0],0x1
  141bda65c  FUN_141bd9090  MOV dword ptr [RBX + 0xa0],0x1
  141be603f  FUN_141be3050  MOV dword ptr [RBX + 0xa0],0x1
  141bfb452  FUN_141bf9d80  MOV dword ptr [RBX + 0xa0],0x1
  141c07e2a  FUN_141c04d80  MOV dword ptr [RBX + 0xa0],0x1
  141c1e3ef  FUN_141c1cd30  MOV dword ptr [RBX + 0xa0],0x1
  141c37f9e  FUN_141c369e0  MOV dword ptr [RBX + 0xa0],0x1
  141c43a17  FUN_141c40730  MOV dword ptr [RBX + 0xa0],0x1
  141c7b0d7  FUN_141c79d50  MOV dword ptr [RBX + 0xa0],0x1
  141c868c2  FUN_141c837f0  MOV dword ptr [RBX + 0xa0],0x1
  141ca23c0  FUN_141ca1360  MOV dword ptr [RBX + 0xa0],0x1
  141cae874  FUN_141cab7d0  MOV dword ptr [RBX + 0xa0],0x1
  141cc731d  FUN_141cc6260  MOV dword ptr [RBX + 0xa0],0x1
  141cd31c8  FUN_141cd0a90  MOV dword ptr [RBX + 0xa0],0x1
  141cef311  FUN_141cec9d0  MOV dword ptr [RBX + 0xa0],0x1
  141f97149  FUN_141f96cd0  MOV dword ptr [RBX + 0xa0],0x1
  141f9e1d9  FUN_141f9df60  MOV dword ptr [RBX + 0xa0],0x1
  141f9e317  FUN_141f9df60  MOV dword ptr [RBX + 0xa0],0x1
  141fd3929  FUN_141fd3510  MOV dword ptr [RBX + 0xa0],0x1
  141fd3a6e  FUN_141fd3510  MOV dword ptr [RBX + 0xa0],0x1
  141fd3bb3  FUN_141fd3510  MOV dword ptr [RBX + 0xa0],0x1
  141fd3cf2  FUN_141fd3510  MOV dword ptr [RBX + 0xa0],0x1
  141fd3e37  FUN_141fd3510  MOV dword ptr [RBX + 0xa0],0x1
  1420bdbba  FUN_1420bce20  MOV dword ptr [RBX + 0xa0],0x1
  1420c02b4  FUN_1420c00c0  MOV dword ptr [RBX + 0xa0],0x1
  14237fd65  FUN_14237ef10  MOV dword ptr [RBX + 0xa0],0x1
  142397225  FUN_142396fb0  MOV dword ptr [RBX + 0xa0],0x1
  142397479  FUN_142396fb0  MOV dword ptr [RBX + 0xa0],0x1
  1425a85d5  FUN_1425a83b0  MOV byte ptr [R12 + 0xa0],0x1
  1425b26b3  FUN_1425b2500  MOV byte ptr [RBP + 0xa0],0x1
  1425cea48  FUN_1425ce8f0  MOV byte ptr [RBP + 0xa0],0x1
  14260786e  FUN_1426072d0  MOV byte ptr [RBP + 0xa0],0x1
  142607eee  FUN_1426072d0  MOV byte ptr [RBP + 0xa0],0x1
  14276d641  FUN_14276d510  MOV qword ptr [R14 + 0xa0],0x1
  14276d8a1  FUN_14276d770  MOV qword ptr [R14 + 0xa0],0x1
  14280c429  FUN_14280c360  MOV dword ptr [RSP + 0xa0],0x1
  14297fb07  FUN_14297faa0  MOV dword ptr [RBX + 0xa0],0x1
  142af2a51  FUN_142af2a10  MOV byte ptr [RDI + 0xa0],0x1
  142af2aa3  FUN_142af2a60  MOV byte ptr [RBX + 0xa0],0x1
  142af4101  FUN_142af3fe0  MOV byte ptr [RAX + 0xa0],0x1
  142b04253  FUN_142b04220  MOV byte ptr [RBX + 0xa0],0x1
  142d7f962  FUN_142d7f7c0  MOV dword ptr [RSI + 0xa0],0x1
  143006861  FUN_1430066f0  MOV byte ptr [RSI + 0xa0],0x1
  14300699b  FUN_1430066f0  MOV byte ptr [RSI + 0xa0],0x1
  14308dc58  FUN_14308d6b0  MOV byte ptr [RBX + 0xa0],0x1
  1433163dd  FUN_143316310  MOV byte ptr [RSP + 0xa0],0x1
  14342a344  FUN_14342a2e0  MOV byte ptr [RCX + 0xa0],0x1
  1434642e3  FUN_143463fc0  MOV byte ptr [RCX + 0xa0],0x1
  1434ca574  FUN_1434ca540  MOV byte ptr [RBX + 0xa0],0x1
  143625a64  FUN_143625a30  MOV byte ptr [RBX + 0xa0],0x1
  143698bde  FUN_143698b70  MOV byte ptr [RSP + 0xa0],0x1
  14369949e  FUN_143699430  MOV byte ptr [RSP + 0xa0],0x1
  1439ad1a0  FUN_1439ad120  MOV byte ptr [RDI + 0xa0],0x1
  1439d5df7  FUN_1439d5cf0  MOV byte ptr [RSP + 0xa0],0x1
  143a3d3ae  FUN_143a3ceb0  MOV dword ptr [RBP + 0xa0],0x1
  143cf5af0  FUN_143cf5810  MOV byte ptr [R13 + 0xa0],0x1
  143de1e6e  FUN_143de1d80  MOV dword ptr [RSP + 0xa0],0x1
  143e1a334  FUN_143e1a300  MOV byte ptr [RBX + 0xa0],0x1
  143f87cb4  FUN_143f87c80  MOV dword ptr [RBP + 0xa0],0x1
  14420036a  FUN_1442002f0  MOV byte ptr [RSP + 0xa0],0x1
  1442ed411  FUN_1442ed2e0  MOV qword ptr [R14 + 0xa0],0x1
  1443349cd  FUN_1443348f0  MOV byte ptr [RDI + 0xa0],0x1
  144479fed  FUN_144479730  MOV byte ptr [R14 + 0xa0],0x1
  144520e41  FUN_144520dd0  MOV qword ptr [RBX + 0xa0],0x1
  144702b87  FUN_144702850  MOV dword ptr [RBP + 0xa0],0x1
  14474d8a2  FUN_14474d770  MOV qword ptr [RBX + 0xa0],0x1
  1447b76ba  FUN_1447b7620  MOV byte ptr [RSI + 0xa0],0x1
  1447b80ea  FUN_1447b80b0  MOV byte ptr [RCX + 0xa0],0x1
  14486a3c0  FUN_144869d60  MOV dword ptr [RBP + 0xa0],0x1
  1449374c5  FUN_144937210  MOV dword ptr [RBP + 0xa0],0x1
  14493751f  FUN_144937210  MOV dword ptr [RBP + 0xa0],0x1
  1449c520d  FUN_1449c5150  MOV dword ptr [RSP + 0xa0],0x1
  145a8407a  FUN_145a83fe0  MOV dword ptr [RBP + 0xa0],0x1
  145a90600  FUN_145a905d0  MOV dword ptr [RBX + 0xa0],0x1
  145d630dd  FUN_145d63020  MOV byte ptr [RCX + 0xa0],0x1
  145e8883a  FUN_145e88710  MOV byte ptr [RSI + 0xa0],0x1
  145e88ec2  FUN_145e88d00  MOV byte ptr [RDX + 0xa0],0x1
  145f1a1e9  FUN_145f19d10  MOV byte ptr [RBX + 0xa0],0x1
  145ff09d7  FUN_145ff0300  MOV byte ptr [RCX + 0xa0],0x1
  1460c3348  ?  MOV byte ptr [RCX + 0xa0],0x1
  14612e3d0  FUN_14612e2e0  MOV qword ptr [RSI + 0xa0],0x1
  14619b4a3  FUN_14619b160  MOV qword ptr [RBP + 0xa0],0x1
  1461b8947  FUN_1461b7400  MOV dword ptr [RBP + 0xa0],0x1
  1461b9a56  FUN_1461b98d0  MOV dword ptr [RBP + 0xa0],0x1
  14621801a  FUN_146217ea0  MOV dword ptr [RBX + 0xa0],0x1
  14639a0e1  FUN_146397290  MOV byte ptr [RAX + 0xa0],0x1
  1463e6558  FUN_1463e63a0  MOV byte ptr [R14 + 0xa0],0x1
  146459423  FUN_146459320  MOV byte ptr [RBP + 0xa0],0x1
  146544476  FUN_1465443d0  MOV byte ptr [RSP + 0xa0],0x1
  1466e9a08  FUN_1466e9960  MOV qword ptr [RBX + 0xa0],0x1
  1466febf9  FUN_1466fead0  MOV qword ptr [R14 + 0xa0],0x1
  146841f23  FUN_146841920  MOV byte ptr [RBP + 0xa0],0x1
  146841fb1  FUN_146841920  MOV byte ptr [RBP + 0xa0],0x1
  146842027  FUN_146841920  MOV byte ptr [RBP + 0xa0],0x1
  14684209c  FUN_146841920  MOV byte ptr [RBP + 0xa0],0x1
  14684210b  FUN_146841920  MOV byte ptr [RBP + 0xa0],0x1
  146aba09e  FUN_146ab9ac0  MOV byte ptr [RBP + 0xa0],0x1
  146afe0c1  FUN_146afe070  MOV byte ptr [RBP + 0xa0],0x1
  146d396a3  FUN_146d39300  MOV dword ptr [RBP + 0xa0],0x1
  146d3be83  FUN_146d3bd30  MOV byte ptr [RSP + 0xa0],0x1
  146f06870  FUN_146f06810  MOV byte ptr [RSI + 0xa0],0x1
  146f06a00  FUN_146f069a0  MOV byte ptr [RSI + 0xa0],0x1
  146f0702e  FUN_146f06fd0  MOV byte ptr [RBX + 0xa0],0x1
  146f1bdfa  FUN_146f1bdd0  MOV byte ptr [RCX + 0xa0],0x1
  147031852  FUN_147031720  MOV byte ptr [RAX + 0xa0],0x1
  1470fb44f  FUN_1470fb400  MOV byte ptr [RSP + 0xa0],0x1
  1470fb644  FUN_1470fb400  MOV byte ptr [RSP + 0xa0],0x1
  1470fe6d5  FUN_1470fe340  MOV byte ptr [RSP + 0xa0],0x1
  14710c045  FUN_14710bb80  MOV dword ptr [RDI + 0xa0],0x1
  14734d514  FUN_14734d2f0  MOV byte ptr [RAX + 0xa0],0x1
  1473ae885  FUN_1473ae6d0  MOV byte ptr [RAX + 0xa0],0x1
  14741b772  FUN_14741b6a0  MOV byte ptr [RCX + 0xa0],0x1
  14744fbe6  FUN_14744f500  MOV byte ptr [RBX + 0xa0],0x1
  1474c30ff  FUN_1474c2e60  MOV byte ptr [RDI + 0xa0],0x1
  1474e279e  FUN_1474e1f60  MOV byte ptr [RBX + 0xa0],0x1
  1474fc03b  FUN_1474fbd50  MOV byte ptr [RSI + 0xa0],0x1
  147533e07  FUN_1475333e0  MOV byte ptr [RSI + 0xa0],0x1
  147534c05  FUN_147534310  MOV byte ptr [RSI + 0xa0],0x1
  1475394b7  FUN_147538a90  MOV byte ptr [RSI + 0xa0],0x1
  14753d986  FUN_14753d0a0  MOV byte ptr [RSI + 0xa0],0x1
  147541d54  FUN_147540e50  MOV byte ptr [RSI + 0xa0],0x1
  147543854  FUN_1475431b0  MOV byte ptr [RSI + 0xa0],0x1
  147547a5c  FUN_147546d10  MOV byte ptr [RSI + 0xa0],0x1
  147549796  FUN_147548d80  MOV byte ptr [RSI + 0xa0],0x1
  14754a576  FUN_147549c90  MOV byte ptr [RSI + 0xa0],0x1
  14754fe50  FUN_14754f960  MOV byte ptr [RSI + 0xa0],0x1
  147550d90  FUN_1475508a0  MOV byte ptr [RSI + 0xa0],0x1
  147551987  FUN_1475512e0  MOV byte ptr [RSI + 0xa0],0x1
  147554477  FUN_147553a50  MOV byte ptr [RSI + 0xa0],0x1
  147555a69  FUN_147555550  MOV byte ptr [RSI + 0xa0],0x1
  1476258dc  FUN_147625030  MOV byte ptr [RBX + 0xa0],0x1
  147625c08  FUN_1476259d0  MOV byte ptr [RBX + 0xa0],0x1
  147629e62  FUN_147629930  MOV byte ptr [RBX + 0xa0],0x1
  14763097f  FUN_1476303f0  MOV byte ptr [RBX + 0xa0],0x1
  14763fa5d  FUN_14763f320  MOV byte ptr [RSI + 0xa0],0x1
  14764ca27  FUN_14764c1c0  MOV byte ptr [RSI + 0xa0],0x1
  1478c1286  FUN_1478c11f0  MOV dword ptr [RDI + 0xa0],0x1
  1478c6c81  FUN_1478c6ab0  MOV dword ptr [RBX + 0xa0],0x1
  147b1b180  FUN_147b1b0b0  MOV byte ptr [RDI + 0xa0],0x1
  147b1b5d5  FUN_147b1b360  MOV byte ptr [RBX + 0xa0],0x1
  147b2670d  FUN_147b26400  MOV dword ptr [RSP + 0xa0],0x1
  147b30a2f  FUN_147b30840  MOV byte ptr [RBX + 0xa0],0x1
  147b30d36  FUN_147b30ae0  MOV byte ptr [RBX + 0xa0],0x1
  147b4690a  FUN_147b46730  MOV byte ptr [R13 + 0xa0],0x1
  147bb05fa  FUN_147bb05a0  MOV byte ptr [RBX + 0xa0],0x1
  147c02c34  FUN_147c02b10  MOV byte ptr [R15 + 0xa0],0x1

### imm = 2 (549 hits)
  1414222ff  FUN_141421b90  MOV byte ptr [RBP + 0xa0],0x2
  141979e01  FUN_141977390  MOV dword ptr [RBX + 0xa0],0x2
  141989f00  FUN_141987850  MOV dword ptr [RBX + 0xa0],0x2
  14198a196  FUN_141987850  MOV dword ptr [RBX + 0xa0],0x2
  14198d267  FUN_14198a9f0  MOV dword ptr [RBX + 0xa0],0x2
  141993ce8  FUN_141991530  MOV dword ptr [RBX + 0xa0],0x2
  141993f74  FUN_141991530  MOV dword ptr [RBX + 0xa0],0x2
  141997847  FUN_141994680  MOV dword ptr [RBX + 0xa0],0x2
  141997985  FUN_141994680  MOV dword ptr [RBX + 0xa0],0x2
  141997ac5  FUN_141994680  MOV dword ptr [RBX + 0xa0],0x2
  141997c18  FUN_141994680  MOV dword ptr [RBX + 0xa0],0x2
  141997d53  FUN_141994680  MOV dword ptr [RBX + 0xa0],0x2
  141997e9a  FUN_141994680  MOV dword ptr [RBX + 0xa0],0x2
  141997fcf  FUN_141994680  MOV dword ptr [RBX + 0xa0],0x2
  1419aef24  FUN_1419a83b0  MOV dword ptr [RBX + 0xa0],0x2
  1419af0ed  FUN_1419a83b0  MOV dword ptr [RBX + 0xa0],0x2
  1419af2bc  FUN_1419a83b0  MOV dword ptr [RBX + 0xa0],0x2
  1419af481  FUN_1419a83b0  MOV dword ptr [RBX + 0xa0],0x2
  1419af64b  FUN_1419a83b0  MOV dword ptr [RBX + 0xa0],0x2
  1419af7f6  FUN_1419a83b0  MOV dword ptr [RAX + 0xa0],0x2
  1419af99e  FUN_1419a83b0  MOV dword ptr [RBX + 0xa0],0x2
  1419afb49  FUN_1419a83b0  MOV dword ptr [RAX + 0xa0],0x2
  1419afcfa  FUN_1419a83b0  MOV dword ptr [RBX + 0xa0],0x2
  1419afea5  FUN_1419a83b0  MOV dword ptr [RAX + 0xa0],0x2
  1419b0056  FUN_1419a83b0  MOV dword ptr [RBX + 0xa0],0x2
  1419b0201  FUN_1419a83b0  MOV dword ptr [RAX + 0xa0],0x2
  1419b03b2  FUN_1419a83b0  MOV dword ptr [RBX + 0xa0],0x2
  1419b055d  FUN_1419a83b0  MOV dword ptr [RAX + 0xa0],0x2
  1419b070e  FUN_1419a83b0  MOV dword ptr [RBX + 0xa0],0x2
  1419b08b9  FUN_1419a83b0  MOV dword ptr [RAX + 0xa0],0x2
  1419b0a6a  FUN_1419a83b0  MOV dword ptr [RBX + 0xa0],0x2
  1419b0c15  FUN_1419a83b0  MOV dword ptr [RAX + 0xa0],0x2
  1419b0dce  FUN_1419a83b0  MOV dword ptr [RBX + 0xa0],0x2
  1419b0f7a  FUN_1419a83b0  MOV dword ptr [RAX + 0xa0],0x2
  1419b112a  FUN_1419a83b0  MOV dword ptr [RBX + 0xa0],0x2
  1419b12de  FUN_1419a83b0  MOV dword ptr [RAX + 0xa0],0x2
  1419b148f  FUN_1419a83b0  MOV dword ptr [RBX + 0xa0],0x2
  1419b163a  FUN_1419a83b0  MOV dword ptr [RAX + 0xa0],0x2
  1419b17f3  FUN_1419a83b0  MOV dword ptr [RBX + 0xa0],0x2
  1419b199f  FUN_1419a83b0  MOV dword ptr [RAX + 0xa0],0x2
  1419b1b4f  FUN_1419a83b0  MOV dword ptr [RBX + 0xa0],0x2
  1419b1cf8  FUN_1419a83b0  MOV dword ptr [RAX + 0xa0],0x2
  1419b1ea8  FUN_1419a83b0  MOV dword ptr [RBX + 0xa0],0x2
  1419b205d  FUN_1419a83b0  MOV dword ptr [RAX + 0xa0],0x2
  1419b2217  FUN_1419a83b0  MOV dword ptr [RBX + 0xa0],0x2
  1419b23b7  FUN_1419a83b0  MOV dword ptr [RAX + 0xa0],0x2
  1419b2590  FUN_1419a83b0  MOV dword ptr [RBX + 0xa0],0x2
  1419b2767  FUN_1419a83b0  MOV dword ptr [RBX + 0xa0],0x2
  1419b2940  FUN_1419a83b0  MOV dword ptr [RBX + 0xa0],0x2
  1419b2b17  FUN_1419a83b0  MOV dword ptr [RBX + 0xa0],0x2
  1419b2cf0  FUN_1419a83b0  MOV dword ptr [RBX + 0xa0],0x2
  1419b2ec7  FUN_1419a83b0  MOV dword ptr [RBX + 0xa0],0x2
